date,in_value,out_value
2023-01-03,127476.45930235376,55975.80072672243
2023-01-04,401092.3756194335,183015.52872577877
2023-01-05,153372.6385599028,66288.33418190356
2023-01-06,196215.30930490134,78360.11833712857
2023-01-07,34912.441090309716,8010.2410683588305
2023-01-08,45369.483416448806,8779.060013484494
2023-01-09,293993.60750418785,104911.57366564497
2023-01-10,127466.24316048481,45846.529794972295
2023-01-11,154185.38949233555,44748.84156579539
2023-01-12,357196.2622477376,35802.12043855042
2023-01-13,197602.65642715243,70521.7191444601
2023-01-14,239177.22522389353,140795.1887711371
2023-01-15,108570.18930171046,27389.696901943138
2023-01-16,99791.92336635469,23736.510938794734
2023-01-17,225611.24557114113,85041.71355073423
2023-01-18,199991.13559458771,63936.902188457854
2023-01-19,360550.0643304761,42164.49651135574
2023-01-20,195238.46414923546,98081.69605178843
2023-01-21,68065.4533756777,18249.548228720272
2023-01-22,78239.15836594297,18584.996085336657
2023-01-23,136257.79718661963,70602.61285913158
2023-01-24,77701.01238635054,29304.49789726971
2023-01-25,135626.05803631083,42130.53805901147
2023-01-26,89211.35181956194,23322.016347789857
2023-01-27,78735.58605391454,16587.42753210644
2023-09-12,4637909.041562179,4692.102345047486
2023-10-25,77595.07032291079,29821.693638965568
2024-02-28,165649.46375659373,75259.99041599626
2023-03-16,114261.03906727312,38563.83778014543
2023-04-13,136794.75851944927,43661.72870264187
2023-04-14,133452.97649248858,21704.494981859392
2023-06-01,59646.12709037593,22363.862019252407
2023-07-12,51085.7933378288,7177.846080593125
2023-10-13,22326.06221446773,6088.365292452827
2023-10-16,38840.81556062047,3676.4082158817646
2023-10-17,117562.22109074895,30312.08409345337
2023-11-10,492079.7318662359,151539.170555535
2023-11-16,216044.14044167567,56811.72323463803
2024-01-11,318233.6567800263,97935.625605518
2024-01-12,419635.40469884936,77923.96451839553
2024-01-14,14014.541215085863,5767.457867578999
2024-02-05,124119.9677762607,113241.23458537018
2024-02-15,202657.68283252566,57669.63828129318
2023-09-18,41493.85591947923,19420.06279746469
2023-03-05,31661.90114024828,7608.650201859206
2023-03-26,39154.0679510893,34226.22584395685
2023-04-12,1043283.2385069833,325811.6523495512
2023-04-15,28323.190714742115,6652.161135303204
2023-04-23,405194.6854175928,1942.0817695243127
2023-07-26,97885.96868722443,2482.4198130756413
2023-07-27,10180.895199803384,3138.9251527078127
2023-07-28,20167.338468713442,15929.117084570868
2023-07-29,3129.371181375296,1210.8621156331028
2023-07-30,1385.6979032456295,305.14452325775966
2023-07-31,238123.07354012883,11559.141362994165
2023-08-01,93938.13588443681,15104.822266089825
2023-08-02,71991.58403247745,10592.529409666406
2023-08-03,26265.165923125078,9884.796133318509
2023-08-04,49531.72082527869,12946.71481417146
2023-08-05,4647.153659165011,149.13041438432603
2023-08-06,2747.8251792018746,2560.008277889681
2023-08-07,35229.00507146338,5243.462704987836
2023-08-08,36992.53739494605,8707.963136266038
2023-08-09,11855.274679439193,5209.8118669023115
2023-08-11,28728.94644631842,5836.652755351207
2023-08-12,4121.863895570534,1646.8400960791223
2023-08-13,5373.986967905567,71.05634314208287
2023-08-14,26917.508459218065,5822.889087977846
2023-08-15,12614.928086660957,7650.050288523873
2023-08-19,24254.412172158303,2915.690730444566
2023-08-20,506.2544698032089,314.9463365878007
2023-08-21,77455.79437591837,21663.30700921375
2023-08-27,1232.6871339876739,1135.672545253186
2023-08-28,21767.734910820043,10370.740272179975
2023-09-01,12251.529089545496,4329.295009890662
2023-09-02,2628.009419139842,1324.4585995806276
2023-09-03,1839.1468540214719,376.00487879452817
2023-09-04,51014.60234700201,3537.695689951083
2023-09-05,25049.884986157835,5160.515677351244
